,Time and Date,Game,Final Score,Ball Possession,Goal Attempts,Shots on Goal,Shots off Goal,Blocked Shots,Free Kicks,Corner Kicks,Offsides,Throw-in,Goalkeeper Saves,Fouls,Total Passes,Completed Passes,Tackles,Attacks,Dangerous Attacks
50,04.12.2022 17:00,France-Poland,3-1,55%-45%,16-11,7-3,7-5,2-3,8-11,7-1,3-1,19-13,2-4,10-8,540-466,481-391,11-17,109-96,68-42
51,04.12.2022 21:00,England-Senegal,3-0,61%-39%,8-10,4-2,4-6,0-2,12-16,3-3,0-0,18-16,2-1,16-12,597-393,523-320,21-11,121-63,46-34
52,05.12.2022 17:00,Japan-Croatia,1-2,42%-58%,12-16,4-4,4-8,4-4,16-16,8-5,3-0,29-28,3-3,13-16,532-735,414-624,13-14,91-130,38-46
53,05.12.2022 21:00,Brazil-South Korea,4-1,53%-47%,18-10,9-6,8-2,1-2,16-8,5-4,0-5,15-13,5-5,8-13,616-548,556-486,14-21,116-110,55-57
54,06.12.2022 17:00,Morocco-Spain,1-0,23%-77%,6-13,3-1,3-6,0-6,18-20,0-8,5-4,29-33,1-3,15-14,323-1041,229-967,26-11,70-204,30-84
55,06.12.2022 21:00,Portugal-Switzerland,6-1,48%-52%,14-10,9-1,2-7,3-2,13-15,6-6,3-3,18-27,0-3,12-10,461-512,392-436,16-5,79-89,29-39
56,09.12.2022 17:00,Croatia-Brazil,2-1,50%-50%,9-20,1-11,4-4,4-5,27-25,3-7,3-3,13-24,10-0,22-24,715-695,632-625,28-16,94-121,29-49
57,09.12.2022 21:00,Netherlands-Argentina,2-3,52%-48%,5-15,2-6,2-8,1-1,20-30,2-8,1-2,29-19,4-0,30-18,651-603,557-511,18-19,129-88,36-21
58,10.12.2022 17:00,Morocco-Portugal,1-0,27%-73%,9-11,3-3,6-6,0-2,11-17,3-9,2-2,11-27,3-2,15-9,229-678,171-592,12-12,42-156,17-78
59,10.12.2022 21:00,England-France,1-2,57%-43%,14-9,6-5,4-3,4-1,14-11,5-2,1-2,16-14,3-5,10-14,508-369,453-310,16-10,112-102,48-39
60,13.12.2022 21:00,Argentina-Croatia,3-0,39%-61%,10-12,7-3,2-7,1-2,6-16,2-4,1-0,19-21,3-4,15-8,408-624,344-551,22-19,90-120,28-44
61,14.12.2022 21:00,France-Morocco,2-0,39%-61%,14-13,2-1,8-6,4-6,13-15,2-3,4-3,14-18,1-0,11-11,358-583,307-518,21-15,98-132,23-55
62,17.12.2022 17:00,Croatia-Morocco,2-1,51%-49%,14-7,4-2,8-5,2-0,13-15,6-3,2-2,14-19,1-2,13-11,491-494,430-428,20-10,94-89,40-42
63,18.12.2022 17:00,Argentina-France,4-3,54%-46%,21-10,9-5,9-3,3-2,22-28,6-5,4-4,25-22,2-6,26-19,648-516,544-419,23-26,81-113,42-31
