,PLAYER,MINS-PLAYED,SHOTS,SOT,GOALS,XG,CHANCES-CREATED,ASSISTS,XA,PASSES,PASS-%,TACKLES-WON,INT,REC,SHOT-ENDING,GOAL-ENDING,CHANCE-CREATING,ASSIST,TOTAL,ATTEMPTS,WIN-%
336,KIM,YOUNG-GWON,351,2,1,1,0.75,3,0,0.15,200,87,2,3,13,0,0,1,0,1,0
337,KINGSLEY COMAN,105,1,0,0,0.16,1,0,0.17,50,94,0,2,4,1,0,1,0,2,9,44
338,KO ITAKURA,270,3,1,0,0.15,0,0,0.02,109,88,5,4,13,0,0,0,0,0,3,0
339,KOKE,50,0,0,0,0.00,0,0,0.02,60,93,1,0,2,0,0,0,0,0,0,0
340,KRYSTIAN BIELIK,216,2,0,0,0.17,0,0,0.05,96,86,3,5,10,0,0,0,0,0,3,33
341,KRZYSZTOF PIATEK,26,1,0,0,0.03,0,0,0.00,6,33,0,0,1,0,0,0,0,0,0,0
342,KRÉPIN DIATTA,182,3,1,0,0.13,3,0,0.17,68,84,0,0,11,2,0,2,0,4,3,33
343,KWON,CHANG-HOON,57,0,0,0,0.00,1,0,0.22,21,76,0,0,3,0,0,0,0,0,0
344,KWON,KYUNG-WON,91,1,0,0,0.02,0,0,0.01,41,90,0,2,2,1,0,0,0,1,0
345,KYE ROWLES,360,0,0,0,0.00,0,0,0.01,180,88,2,7,12,0,0,0,0,0,0,0
346,KYLE WALKER,147,0,0,0,0.00,0,0,0.06,113,90,0,2,4,0,0,0,0,0,2,50
347,KYLIAN MBAPPÉ,297,21,10,5,2.69,8,2,1.03,134,82,0,0,6,5,1,5,1,12,30,43
348,LAUTARO MARTÍNEZ,183,8,2,0,0.99,1,0,0.04,37,73,0,1,9,3,0,0,0,3,6,33
349,LEANDER DENDONCKER,162,1,0,0,0.08,1,0,0.33,119,97,3,0,6,0,0,1,0,1,1,0
350,LEANDRO PAREDES,90,0,0,0,0.00,1,0,0.08,138,95,1,2,7,0,0,0,0,0,0,0
351,LEANDRO TROSSARD,102,0,0,0,0.00,2,0,0.03,54,78,1,0,7,0,0,0,0,0,5,0
352,LEE,JAE-SUNG,214,1,0,0,0.02,2,0,0.06,96,88,2,3,7,0,0,0,0,0,3
353,LEE,KANG-IN,145,5,1,0,0.16,4,1,0.27,62,94,3,0,6,2,0,1,0,3,2
354,LEON GORETZKA,158,4,1,0,0.45,1,0,0.14,54,78,3,1,12,0,0,0,0,0,1,0
355,LEROY SANÉ,110,3,0,0,0.12,4,1,1.86,56,82,1,0,6,2,0,2,0,4,7,42
356,LIAM MILLAR,9,0,0,0,0.00,0,0,0.00,6,50,0,0,0,0,0,0,0,0,0,0
357,LIONEL MESSI,360,19,9,2,1.21,10,0,0.65,195,84,2,0,9,7,0,4,0,11,23,39
358,LISANDRO MARTÍNEZ,161,1,0,0,0.12,1,0,0.02,102,87,0,1,3,0,0,0,0,0,1,0
359,LOVRO MAJER,37,2,1,1,0.65,0,0,0.01,33,88,0,0,6,0,0,0,0,0,1,0
360,LOÏS OPENDA,12,0,0,0,0.00,0,0,0.00,4,75,0,0,1,0,0,0,0,0,1,100
361,LUCAS CAVALLINI,18,0,0,0,0.00,0,0,0.08,1,100,0,0,0,0,0,0,0,0,0,0
362,LUCAS HERNÁNDEZ,13,0,0,0,0.00,0,0,0.00,9,56,1,0,1,0,0,0,0,0,0,0
363,LUCAS PAQUETÁ,210,2,2,1,0.31,5,0,0.20,133,83,4,0,10,0,0,0,0,0,2,0
364,LUIS CHÁVEZ,270,10,4,1,0.29,2,0,0.50,114,78,0,1,15,3,0,2,0,5,6,33
365,LUIS SUÁREZ,147,2,1,0,0.42,1,1,0.12,37,59,0,0,3,1,0,0,0,1,3,66
366,LUKA JOVIC,35,2,0,0,0.05,2,0,0.06,9,56,0,1,0,0,0,0,0,0,0,0
367,LUKA MODRIC,365,4,3,0,0.24,3,0,0.45,248,87,5,7,32,2,0,2,0,4,7,14
368,LUKAS KLOSTERMANN,65,0,0,0,0.00,0,0,0.05,42,100,1,0,6,0,0,0,0,0,0,0
369,LUKE SHAW,335,1,0,0,0.03,6,1,0.59,278,86,1,4,18,0,0,1,0,1,2,100
370,MAJID HOSSEINI,270,0,0,0,0.00,0,0,0.01,100,80,4,6,22,0,0,0,0,0,0,0
371,MANUEL AKANJI,360,4,1,1,1.10,1,0,0.07,245,88,2,3,18,0,0,0,0,0,0,0
372,MARCELO BROZOVIC,390,3,2,0,0.44,4,0,0.12,359,88,3,0,27,1,0,1,0,2,6,33
373,MARCO ASENSIO,231,10,2,1,1.21,1,0,0.14,105,80,1,0,3,6,0,0,0,6,3,0
374,MARCOS ACUÑA,240,2,0,0,0.08,1,0,0.08,129,83,3,1,9,1,0,1,0,2,4,0
375,MARCOS LLORENTE,120,1,0,0,0.02,0,0,0.02,87,91,0,0,9,0,0,0,0,0,1,0
376,MARCUS RASHFORD,132,10,6,3,1.53,0,0,0.04,61,74,0,1,8,3,2,0,0,5,9,55
377,MARCUS THURAM,43,0,0,0,0.00,1,1,0.02,10,80,0,0,3,0,0,0,0,0,3,66
378,MARIO GÖTZE,34,1,1,0,0.09,2,0,0.12,21,90,0,0,0,0,0,0,0,0,2,0
379,MARIO PASALIC,127,2,0,0,0.17,0,0,0.03,41,80,2,1,11,0,0,0,0,0,2,0
380,KAYE,MARK-ANTHONY,60,1,0,0,0.04,0,0,0.01,59,83,1,0,4,0,0,0,0,0,0
381,MARKO GRUJIC,11,1,1,0,0.04,0,0,0.01,16,81,1,0,2,0,0,0,0,0,1,0
382,MARKO LIVAJA,158,5,4,1,0.76,1,0,0.06,35,54,1,0,5,0,0,0,0,0,0,0
383,MARQUINHOS,306,1,0,0,0.08,4,0,1.11,263,95,4,1,23,0,0,1,0,1,2,50
384,MARTEN DE ROON,140,0,0,0,0.00,0,0,0.02,88,82,4,2,7,0,0,0,0,0,0,0
385,MARTIN BRAITHWAITE,104,1,0,0,0.07,3,0,0.06,19,68,0,0,1,0,0,0,0,0,2,50
386,MARTIN HONGLA,123,1,1,0,0.05,2,0,0.10,59,83,0,2,3,0,0,1,0,1,3,66
387,MARTÍN CÁCERES,90,0,0,0,0.00,0,0,0.01,66,85,0,0,3,0,0,0,0,0,1,100
388,MASON MOUNT,175,3,1,0,0.19,1,0,0.05,66,86,2,0,7,0,0,0,0,0,3,66
389,MATEO KOVACIC,353,2,1,0,0.09,5,0,1.06,213,89,9,3,24,0,0,3,0,3,6,33
390,MATHEUS NUNES,73,1,0,0,0.02,1,0,0.03,29,93,0,0,0,1,0,1,0,2,2,50
391,MATHEW LECKIE,336,1,1,1,0.15,2,1,0.05,97,68,4,1,15,1,1,0,0,2,12,8
392,MATHIAS JENSEN,84,2,1,0,0.11,3,0,0.09,61,82,0,0,5,1,0,1,0,2,1,100
393,MATHÍAS OLIVERA,255,2,0,0,0.09,5,0,0.52,101,74,5,2,15,1,0,0,0,1,3,0
394,MATTHIAS GINTER,1,0,0,0,0.00,0,0,0.00,3,100,0,0,0,0,0,0,0,0,0,0
395,MATTHIJS DE LIGT,91,0,0,0,0.00,0,0,0.01,43,91,0,0,3,0,0,0,0,0,0,0
396,MATTY CASH,360,1,0,0,0.04,2,0,0.47,118,80,3,0,10,0,0,1,0,1,5,20
397,MATTÉO GUENDOUZI,79,0,0,0,0.00,0,0,0.01,30,80,1,0,4,0,0,0,0,0,0,0
398,MATÍAS VECINO,196,1,1,0,0.10,0,0,0.03,104,72,3,4,18,0,0,0,0,0,0,0
399,MATÍAS VIÑA,15,0,0,0,0.00,0,0,0.00,15,47,3,0,1,0,0,0,0,0,1,100
400,MAXIMILIANO GÓMEZ,28,2,1,0,0.09,0,0,0.03,7,71,0,0,0,1,0,0,0,1,0,0
401,MAYA YOSHIDA,390,0,0,0,0.00,1,1,0.03,227,85,4,3,30,0,0,0,0,0,2,50
402,MEHDI TAREMI,270,5,3,1,0.55,9,1,0.08,71,72,3,2,13,1,0,2,1,4,10,10
403,MEHDI TORABI,59,2,0,0,0.12,3,0,0.20,35,83,0,2,6,0,0,0,0,0,2,50
404,MEMPHIS DEPAY,222,10,5,1,1.47,2,0,0.40,77,82,1,0,8,2,0,0,0,2,9,22
405,MICHAEL ESTRADA,227,3,0,0,0.31,1,0,0.36,48,57,0,0,5,0,0,1,0,1,3,66
406,MICHAL SKÓRAS,45,1,0,0,0.02,0,0,0.00,9,89,0,1,1,0,0,0,0,0,1,0
407,MICHEL AEBISCHER,14,0,0,0,0.00,0,0,0.00,4,50,0,0,0,0,0,0,0,0,0,0
408,MICHY BATSHUAYI,153,6,2,1,0.76,1,0,0.02,22,64,0,0,4,0,0,0,0,0,3,33
409,MIKI YAMANE,62,0,0,0,0.00,1,0,0.15,26,77,0,2,5,0,0,0,0,0,1,100
410,MIKKEL DAMSGAARD,149,0,0,0,0.00,2,0,0.23,69,77,2,2,10,0,0,0,0,0,2,0
411,MILAD MOHAMMADI,198,0,0,0,0.00,0,0,0.01,54,63,3,1,11,0,0,0,0,0,2,0
412,MILOS DEGENEK,182,0,0,0,0.00,0,0,0.01,70,71,4,1,15,0,0,0,0,0,2,0
413,MILOS VELJKOVIC,223,0,0,0,0.00,0,0,0.01,111,87,1,0,12,0,0,0,0,0,0,0
414,MISLAV ORSIC,20,2,1,0,0.12,2,1,0.19,9,67,0,0,0,0,0,0,0,0,1,100
415,MITCHELL DUKE,274,7,4,1,0.36,1,0,0.02,59,56,0,2,11,1,0,0,0,1,3,33
416,MOHAMED ALI BEN ROMDHANE,74,0,0,0,0.00,0,0,0.01,20,70,4,0,10,0,0,0,0,0,4,25
417,MOHAMED DRÄGER,133,4,0,0,0.20,1,0,0.08,30,63,3,1,2,0,0,1,0,1,2,50
418,MOHAMMED AL BURAYK,66,2,1,0,0.37,1,0,0.08,41,85,0,1,3,1,0,0,0,1,0,0
419,MOHAMMED KANNO,270,6,1,0,0.29,0,0,0.11,142,80,2,2,19,1,0,0,0,1,10,50
420,MOHAMMED KUDUS,249,8,4,2,0.83,0,0,0.05,75,75,4,1,22,3,0,0,0,3,16,62
421,MOHAMMED MUNTARI,60,3,1,1,0.21,1,0,0.00,19,89,2,0,4,1,0,0,0,1,0,0
422,MOHAMMED SALISU,270,2,1,1,0.77,2,0,0.35,144,72,1,3,15,0,0,0,0,0,0,0
423,MOHAMMED WAAD,26,0,0,0,0.00,0,0,0.00,11,73,0,1,1,0,0,0,0,0,1,100
424,MOISÉS CAICEDO,269,3,1,1,0.52,0,0,0.04,149,82,5,2,14,0,0,0,0,0,0,0
425,MONTASSAR TALBI,270,1,1,0,0.02,0,0,0.05,133,87,2,2,16,0,0,0,0,0,1,0
426,MORTEZA POURALIGANJI,270,2,0,0,0.08,2,0,0.18,120,73,2,6,16,0,0,0,0,0,0,0
427,MOUMI NGAMALEU,95,0,0,0,0.00,1,0,0.14,23,83,1,0,5,0,0,1,0,1,5,40
428,MUSAAB KHIDIR,5,0,0,0,0.00,0,0,0.00,1,100,1,0,0,0,0,0,0,0,0,0
429,NA,SANG-HO,120,1,1,0,0.03,3,0,0.05,28,79,1,0,5,0,0,0,0,0,6
430,NADER GHANDRI,90,0,0,0,0.00,0,0,0.00,32,81,2,1,2,0,0,0,0,0,0,0
431,NAHUEL MOLINA,287,1,0,0,0.08,3,1,0.24,182,86,1,1,8,0,0,0,0,0,2,50
432,NAMPALYS MENDY,273,2,0,0,0.06,1,0,0.06,154,89,4,3,18,1,0,0,0,1,1,100
433,NASSER AL DAWSARI,4,0,0,0,0.00,1,0,0.07,10,100,1,0,1,0,0,0,0,0,0,0
434,NATHAN AKÉ,359,0,0,0,0.00,0,0,0.04,266,92,2,3,15,0,0,0,0,0,1,0
435,NATHANIEL ATKINSON,85,0,0,0,0.00,0,0,0.00,24,75,3,1,6,0,0,0,0,0,2,0
436,NAWAF AL ABID,87,2,0,0,0.13,1,0,0.04,36,89,0,1,2,0,0,0,0,0,3,33
437,NAYEF AGUERD,354,1,0,0,0.17,1,0,0.01,148,88,2,4,18,0,0,0,0,0,0,0
438,NAÏM SLITI,113,1,0,0,0.14,2,0,0.10,34,74,1,0,8,1,0,0,0,1,8,62
439,NECO WILLIAMS,205,3,0,0,0.09,1,0,0.03,70,66,3,4,16,1,0,0,0,1,8,12
440,NEMANJA GUDELJ,92,0,0,0,0.00,0,0,0.01,51,84,2,2,6,0,0,0,0,0,0,0
441,NEMANJA MAKSIMOVIC,120,0,0,0,0.00,3,0,0.13,53,87,2,3,6,0,0,1,0,1,0,0
442,NEMANJA RADONJIC,57,2,0,0,0.10,1,0,0.04,14,71,0,0,6,1,0,0,0,1,5,0
443,NEYMAR,161,6,2,0,0.82,4,1,0.08,75,81,0,0,4,1,0,1,0,2,12,16
444,NICLAS FÜLLKRUG,66,8,3,2,2.19,1,1,0.20,21,56,0,0,2,0,0,0,0,0,1,100
445,NICO ELVEDI,180,1,0,0,0.08,0,0,0.02,139,92,0,1,15,0,0,0,0,0,0,0
446,NICO SCHLOTTERBECK,93,0,0,0,0.00,2,0,0.08,116,91,3,1,10,0,0,1,0,1,2,0
447,NICO WILLIAMS,145,1,0,0,0.11,0,0,0.15,54,89,2,0,7,0,0,0,0,0,16,31
448,NICOLA ZALEWSKI,64,0,0,0,0.00,0,0,0.02,15,87,0,0,5,0,0,0,0,0,2,0
449,NICOLAS JACKSON,17,0,0,0,0.00,0,0,0.01,10,90,0,0,3,0,0,0,0,0,0,0
450,NICOLAS NKOULOU,180,3,1,0,0.28,0,0,0.03,89,88,0,5,11,0,0,0,0,0,0,0
451,NICOLÁS OTAMENDI,360,1,0,0,0.03,2,1,0.22,364,92,5,6,19,0,0,0,0,0,0,0
452,NICOLÁS TAGLIAFICO,120,3,2,0,1.01,1,0,0.12,68,84,2,1,5,1,0,1,0,2,3,0
453,NICOLÁS DE LA CRUZ,36,1,1,0,0.04,0,0,0.03,21,86,0,0,4,0,0,0,0,0,1,0
454,NIKLAS SÜLE,269,1,0,0,0.11,0,0,0.10,238,91,4,0,17,0,0,0,0,0,0,0
455,NIKOLA MILENKOVIC,270,3,0,0,0.18,0,0,0.02,159,87,5,6,18,0,0,0,0,0,0,0
456,NIKOLA VLASIC,83,2,1,0,0.33,0,0,0.05,24,92,0,0,1,0,0,0,0,0,2,0
457,NOAH OKAFOR,43,1,0,0,0.03,1,0,0.01,22,77,0,0,4,1,0,0,0,1,4,0
458,NOUHOU TOLO,270,0,0,0,0.00,0,0,0.04,82,79,5,6,17,0,0,0,0,0,5,20
459,NOUSSAIR MAZRAOUI,322,4,2,0,0.15,0,0,0.07,76,82,8,1,17,0,0,0,0,0,3,33
460,NUNO MENDES,42,0,0,0,0.00,1,0,0.04,25,92,0,2,2,0,0,1,0,1,2,50
461,NÉSTOR ARAÚJO,90,0,0,0,0.00,0,0,0.04,46,80,1,3,6,0,0,0,0,0,0,0
462,OLIVIER GIROUD,227,9,3,3,2.37,2,0,0.29,35,74,0,0,6,0,0,0,0,0,0,0
463,OLIVIER NTCHAM,22,1,1,0,0.04,1,0,0.03,12,92,0,0,1,1,0,0,0,1,2,100
464,ORBELÍN PINEDA,77,4,1,0,0.32,1,0,0.01,25,72,3,0,4,2,0,0,0,2,2,0
465,OSMAN BUKARI,58,3,1,1,0.50,1,0,0.04,18,78,0,1,2,0,0,0,0,0,2,0
466,OTÁVIO,130,3,2,0,0.11,2,0,0.30,69,83,3,0,11,0,0,0,0,0,0,0
467,OUSMANE DEMBÉLÉ,239,7,2,0,0.45,9,2,0.72,107,79,3,1,15,1,0,3,1,5,16,43
468,PABLO SARABIA,2,1,0,0,0.11,2,0,0.02,2,50,0,0,0,0,0,0,0,0,0,0
469,PAIK,SEUNG-HO,25,1,1,1,0.04,0,0,0.01,27,74,2,0,4,0,0,0,0,0,0
470,PAPE ABOU CISSÉ,104,0,0,0,0.00,0,0,0.01,36,78,0,2,2,0,0,0,0,0,1,100
471,PAPE GUEYE,152,4,2,0,0.11,2,0,0.05,54,70,2,2,5,2,0,1,0,3,1,0
472,PAPE SARR,58,4,0,0,0.12,0,0,0.02,35,89,2,0,3,0,0,0,0,0,2,0
473,PAPU GÓMEZ,109,2,0,0,0.04,0,0,0.03,55,95,0,1,6,1,0,0,0,1,2,50
474,PATHÉ CISS,145,1,0,0,0.04,0,0,0.02,57,81,3,2,10,0,0,0,0,0,3,33
475,PAU TORRES,90,0,0,0,0.00,0,0,0.04,189,92,0,0,6,0,0,0,0,0,0,0
476,PEDRI,357,0,0,0,0.00,5,0,0.94,426,91,2,4,27,0,0,1,0,1,11,54
477,PEDRO,26,2,0,0,0.23,0,0,0.00,5,60,1,0,1,0,0,0,0,0,0,0
478,PEDRO MIGUEL,263,2,0,0,0.05,0,0,0.07,91,70,4,8,14,0,0,0,0,0,4,50
479,PEPE,270,2,1,1,0.29,0,0,0.03,184,82,0,5,23,0,0,0,0,0,1,100
480,PERVIS ESTUPIÑÁN,270,1,1,0,0.07,3,0,0.26,134,83,3,3,21,1,0,0,0,1,8,25
481,PHIL FODEN,174,5,1,1,1.04,3,2,0.30,80,80,1,0,7,0,0,2,1,3,3,66
482,PIERO HINCAPIÉ,270,0,0,0,0.00,0,0,0.02,192,85,4,2,13,0,0,0,0,0,0,0
483,PIERRE KUNDE,135,5,2,0,0.22,0,0,0.06,39,82,2,4,13,3,0,0,0,3,1,0
484,HØJBJERG,PIERRE-EMILE,270,2,1,0,0.03,1,0,0.12,215,89,2,3,26,0,0,1,0,1,2
485,PIOTR ZIELINSKI,330,3,2,1,0.57,2,0,0.09,126,84,5,1,17,0,0,2,0,2,5,20
