No.,Player,Apps,Mins,Total,AccLB,InAccLB,AccSP,InAccSP,Rating
46,Robert Lewandowski,4,360,21.8,0.5,0.3,14.8,6.3,7.16
47,Joshua Kimmich,3,270,80,6.3,1.7,66.3,5.7,7.15
48,Enzo Fernández,7,563,66.9,2.3,2.1,56.3,6.1,7.15
49,Phil Foden,4,259,25.5,0.5,0.5,20.3,4.3,7.15
50,Alex Sandro,3,191,47.7,-,1.3,43.7,2.7,7.14
51,Dani Olmo,4,368,46.8,1,0.5,39,6.3,7.14
52,Yasir Al Shahrani,1,90,22,1,5,8,8,7.13
53,Lucas Paquetá,4,317,47.8,1,1,39.5,6.3,7.13
54,Andreas Christensen,3,270,83.7,5,2,74,2.7,7.12
55,Ángel Di María,5,290,27.6,0.8,0.4,23.4,3,7.12
56,Thibaut Courtois,3,270,36,3.7,5,27.3,-,7.11
57,Alexis Mac Allister,6,555,43.8,0.8,0.7,38.2,4.2,7.11
58,Luis Chávez,3,270,39.7,3.7,2.7,27.3,6,7.10
59,João Félix,4,333,28.8,0.8,1,21.3,5.8,7.10
60,Leroy Sané,2,110,28,0.5,0.5,22.5,4.5,7.10
61,Cheikhou Kouyaté,1,73,21,-,1,18,2,7.09
62,Ivan Perisic,7,672,32.7,0.7,1.7,23.7,6.6,7.08
63,Henry Martín,2,148,9,-,-,6.5,2.5,7.08
64,Christian Pulisic,4,316,27.5,1.3,1,18.8,6.5,7.07
65,Thiago Silva,4,390,85.8,4.5,2.3,75.8,3.3,7.07
66,Eric Choupo-Moting,3,254,22,0.7,-,14,7.3,7.07
67,Silvan Widmer,3,266,46,0.7,3.7,34,7.7,7.04
68,Randal Kolo Muani,3,180,13.7,-,-,8.3,5.3,7.03
69,Mathías Olivera,3,255,34,1,2,24.3,6.7,7.03
70,Andries Noppert,5,480,31.6,6,6.8,18.6,0.2,7.02
71,Aurélien Tchouaméni,7,623,66.9,1.7,1.6,58.7,4.9,7.02
72,Álvaro Morata,4,183,10.3,0.8,0.5,6.3,2.8,7.02
73,Ismaïla Sarr,4,344,17.5,-,0.5,11.8,5.3,7.02
74,Mateo Kovacic,7,640,65.1,2.4,1.4,56.7,4.6,7.00
75,Leander Dendoncker,2,162,60.5,0.5,0.5,58.5,1,7.00
76,Andrija Zivkovic,3,213,23.7,-,2,19.7,2,6.99
77,Cho Gue-Sung,4,276,15.5,0.3,0.5,9.8,5,6.99
78,Jurriën Timber,4,390,76.8,1.8,3.5,67.8,3.8,6.99
79,Hirving Lozano,3,253,16.7,0.3,0.7,11.7,4,6.99
80,Gonçalo Ramos,4,153,7.8,-,-,6.3,1.5,6.98
81,Gavi,4,287,37.5,0.5,0.8,32.5,3.8,6.98
82,Federico Valverde,3,270,60,4.7,2.7,47,5.7,6.98
83,Ibrahima Konaté,5,293,46.6,2.8,1.4,40,2.4,6.98
84,Pedri,4,357,107.5,6.5,1.3,91.3,8.5,6.97
85,Julián Álvarez,7,467,16.6,0.6,-,12.3,3.7,6.97
86,Ilkay Gündogan,3,192,55.7,2,1,48,4.7,6.96
87,Raphaël Guerreiro,4,279,36.5,0.8,-,31.5,4.3,6.96
88,Jan Vertonghen,3,270,89.3,2.3,4.7,77,5.3,6.96
89,Pepe,4,360,72.5,4,5.3,56.8,6.5,6.96
90,Dejan Lovren,6,600,75.8,4.5,3,62.7,5.7,6.95
91,Borna Barisic,1,120,47,-,-,38,9,6.95
92,Aleksandar Mitrovic,3,263,22.3,1,0.3,17,4,6.95
93,Achraf Hakimi,7,633,43.1,1.9,1.4,34,5.9,6.94
94,Harry Souttar,4,360,41.8,3,5,31.5,2.3,6.94
95,Marcus Rashford,5,137,12.8,0.2,0.2,9.4,3,6.94
96,Josko Gvardiol,7,690,73.6,3.4,2.1,62.7,5.3,6.94
97,Otávio,3,199,40,1.7,1.7,29.7,7,6.93
98,Kalidou Koulibaly,4,360,51.3,4.3,8,34.8,4.3,6.93
99,Cameron Carter-Vickers,1,90,58,4,1,46,7,6.93
100,Carlos Soler,2,90,39,1.5,-,36,1.5,6.93
101,Luke Shaw,5,425,68.8,1.8,1.8,57.4,7.8,6.93
102,Ellyes Skhiri,3,270,41.3,2.7,2,33.3,3.3,6.92
103,Nuno Mendes,1,42,25,1,1,22,1,6.92
104,João Cancelo,4,309,57.3,2.3,1.8,45,8.3,6.92
105,Dusan Tadic,3,258,35.7,0.3,0.7,27.7,7,6.92
106,Kieran Trippier,3,205,54.3,1.7,1.7,45,6,6.92
107,Luka Modric,7,656,73.9,4,1.4,61.4,7,6.91
108,Diego Godín,2,152,51.5,3.5,2,40,6,6.91
109,Pervis Estupiñán,3,270,47,2,2.7,36.3,6,6.91
110,Aymeric Laporte,3,300,145,3.3,3.3,133.3,5,6.90
111,Declan Rice,5,418,63.6,2.8,0.8,57.2,2.8,6.90
112,Montassar Talbi,3,270,45.7,4.7,2,34.7,4.3,6.90
113,Mohamed Ali Ben Romdhane,1,74,20,-,-,14,6,6.90
114,Famara Diédhiou,2,92,7,-,-,5,2,6.90
115,Toby Alderweireld,3,270,90.3,5.3,5.3,77.3,2.3,6.89
116,Denzel Dumfries,5,480,31.8,0.8,2.2,21.8,7,6.89
117,Angelo Preciado,3,265,30.7,0.7,2.7,23,4.3,6.89
118,Gideon Mensah,1,88,39,2,4,29,4,6.89
119,Jerome Mbekeli,1,4,-,-,-,-,-,6.89
120,Virgil van Dijk,5,480,71,4.2,3.6,58,5.2,6.89
121,Kevin De Bruyne,3,270,37.3,2,1.7,25.3,8.3,6.88
122,Vincent Aboubakar,3,141,10.3,0.3,-,6.3,3.7,6.88
123,César Montes,3,270,64.7,4,5.7,48.7,6.3,6.87
124,Orbelín Pineda,1,77,25,1,1,17,6,6.87
125,Youssouf Sabaly,4,360,46,2.5,2,37.5,4,6.87
126,Yassine Meriah,3,270,56,2,5.7,44,4.3,6.87
127,Raphinha,5,317,24.8,1.2,0.6,19.4,3.6,6.87
128,Mohammed Salisu,3,270,50.3,1,7,35.3,7,6.86
129,Niclas Füllkrug,3,66,8,-,0.3,5,2.7,6.86
130,Ko Itakura,3,270,37,1.3,2,31.3,2.3,6.86
131,Ousmane Dembélé,7,438,24.4,1,0.9,18.6,4,6.86
132,Nouhou Tolo,3,270,27.7,2,2,20,3.7,6.86
133,Piotr Zielinski,4,330,34.3,1,1.5,27.8,4,6.86
134,Jules Koundé,6,481,43.8,2,1.3,34.3,6.2,6.85
135,Youssef En-Nesyri,7,547,11.3,0.3,0.1,6.9,4,6.85
136,Mohammed Kanno,3,270,49,2.3,1.7,37.3,7.7,6.85
137,Youssef Msakni,2,170,32,1,1.5,22.5,7,6.85
138,José Giménez,3,270,56.7,5,4,41.7,6,6.84
139,Nathan Aké,5,480,67.6,2.2,2.8,58.6,4,6.84
140,Tyler Adams,4,360,66,4.5,1,55,5.5,6.84
141,Maya Yoshida,4,390,58,3.3,5.3,46.3,3.3,6.83
142,Hakim Ziyech,7,638,37.9,2.7,2.4,26.6,6.1,6.81
143,Matt Turner,4,360,26,4.5,6.8,14.8,-,6.81
144,Félix Torres,3,270,68.7,4.3,6,51.7,6.7,6.81
145,Nicolás Otamendi,7,690,82.1,1.7,1.4,74,5,6.80
146,Olivier Ntcham,1,22,12,-,-,11,1,6.80
147,Salem Al Dawsari,3,270,35.3,2,1,26.3,6,6.80
148,Marcelo Brozovic,6,554,87.5,4,0.8,73.7,9,6.80
149,Aziz Behich,4,360,38.5,0.5,4.8,29,4.3,6.80
150,Marcos Acuña,6,374,28.8,0.8,0.8,22.7,4.5,6.79
151,Aïssa Laïdouni,3,245,39.3,1.7,1,30.3,6.3,6.79
152,Aymen Dahmen,3,270,23.3,5.7,9.3,8.3,-,6.79
153,Christopher Wooh,1,90,31,2,5,23,1,6.79
154,Jordan Henderson,4,272,38.3,1,0.8,32.5,4,6.79
155,Hwang Hee-Chan,2,114,26.5,-,1,21.5,4,6.78
156,Éder Militão,4,349,63.8,3.8,2,54.5,3.5,6.78
157,Kim Moon-Hwan,4,360,46,1.3,0.3,38.8,5.8,6.78
158,Alphonso Davies,3,270,28.7,0.7,1,21.7,5.3,6.77
159,Thilo Kehrer,1,70,24,1,-,18,5,6.77
160,Noussair Mazraoui,5,368,19.6,0.6,1.6,15.6,1.8,6.77
161,Nico Elvedi,2,180,71,2.5,0.5,63,5,6.77
162,Pierre-Emile Højbjerg,3,270,73.7,7.7,3.7,58.3,4,6.76
163,Wataru Endo,4,303,47.5,1,2.3,37.5,6.8,6.76
164,Axel Witsel,3,270,58.7,1.7,0.3,54.3,2.3,6.76
165,Wahbi Khazri,2,83,8.5,0.5,1,6,1,6.76
166,Vanja Milinkovic-Savic,3,270,34.7,6,11.3,17,0.3,6.76
167,Danilo,3,282,79.7,1,2.7,69.3,6.7,6.75
168,Hugo Lloris,6,570,26.5,6.2,11.5,8.5,0.3,6.75
169,Kyle Walker,3,237,52.7,4.7,1.7,43.3,3,6.75
170,Jorge Sánchez,2,176,30,0.5,3,23,3.5,6.74
171,Sergej Milinkovic-Savic,3,236,39.7,1.3,2,27.3,9,6.74
172,Kim Jin-Su,4,316,25,1,1.8,18.3,4,6.74
173,Davy Klaassen,4,192,18.8,-,0.3,14.8,3.8,6.73
174,Romain Saïss,6,468,33,2.8,3.8,23.7,2.7,6.73
175,André-Frank Zambo Anguissa,3,261,42.3,1,0.7,36.3,4.3,6.73
176,Borna Sosa,5,426,43.6,0.6,1.8,36,5.2,6.73
177,Dominik Livakovic,7,690,26,5.4,4.9,15.7,-,6.73
178,Pierre Kunde,2,135,22,2,2,16,2,6.73
179,Azzedine Ounahi,7,571,36.9,1.1,0.6,29.6,5.6,6.72
180,John Stones,5,437,90.6,5.6,1.6,81.2,2.2,6.72
181,Thomas Partey,3,270,58.3,2.3,2.3,46.3,7.3,6.72
182,Marquinhos,5,426,72.8,0.8,1.2,69,1.8,6.72
183,Josip Juranovic,6,600,52.7,1.8,1.3,42.3,7.2,6.72
184,Hossein Hosseini,2,160,15.5,3.5,11,1,-,6.72
185,Saleh Al Shehri,3,226,15.3,0.7,-,9,5.7,6.71
186,Rodrigo De Paul,7,602,77,2,2.4,64,8.6,6.71
187,Kye Rowles,4,360,46.5,2.8,1,38.5,4.3,6.71
188,Joachim Andersen,3,270,82.7,7.3,8,58.7,8.7,6.71
189,Xherdan Shaqiri,3,231,29,1,1.7,20.7,5.7,6.71
190,Gonzalo Plata,3,270,28,0.3,2,23.7,2,6.71
191,Dusan Vlahovic,2,79,5.5,0.5,0.5,2.5,2,6.71
192,Fran Karacic,2,93,19,3,1,8.5,6.5,6.70
193,Josip Stanisic,1,90,41,2,2,28,9,6.70
194,Junya Ito,4,323,18,-,1.5,12,4.5,6.70
195,Antonee Robinson,4,360,47,2,2,35.3,7.8,6.70
196,Nayef Aguerd,4,354,39.5,3.5,3,30.8,2.3,6.70
197,Kasper Schmeichel,3,270,24.7,5.3,5,14.3,-,6.69
198,Sergio Busquets,4,364,72,2.8,0.5,62.3,6.5,6.69
199,Ethan Ampadu,3,257,45.3,3.7,2.3,30.7,8.7,6.68
200,Raheem Sterling,3,150,17.7,-,-,15,2.7,6.68
201,Kaoru Mitoma,4,162,14.3,0.5,1.3,9.8,2.8,6.68
202,Miki Yamane,1,62,26,-,1,20,5,6.68
203,Yunus Musah,4,345,43,1.3,0.8,36,5,6.68
204,Thomas Meunier,3,213,42,3.7,3,29,6.3,6.67
205,Yann Sommer,3,270,33.7,4.3,2.7,26.7,-,6.67
206,Sofiane Boufal,7,482,17.7,1.1,0.6,12.4,3.6,6.67
207,Dayot Upamecano,5,480,69.6,6,3.8,56.6,3.2,6.67
208,Tim Ream,4,360,68.5,4,2.8,56.8,5,6.66
209,Yeltsin Tejeda,3,270,32.7,2,1.3,24,5.3,6.66
210,Ali Abdi,3,187,27.7,1,4,16,6.7,6.66
211,Jesús Gallardo,3,270,34.7,1.3,2.7,23.7,7,6.65
212,Strahinja Pavlovic,3,236,51,1.3,2.7,38.3,8.7,6.65
213,Abdullah Madu,1,45,13,1,2,4,6,6.65
214,Christian Eriksen,3,270,65.3,6,1.7,52.7,5,6.65
215,Mathew Leckie,4,336,24.3,0.3,0.5,16.3,7.3,6.65
216,Son Heung-Min,4,360,23,0.8,1.8,17,3.5,6.65
217,Sergiño Dest,4,309,42.3,1.5,1.5,36.5,2.8,6.65
218,Leandro Paredes,5,224,48.8,1.8,1,44,2,6.64
219,Daniel Amartey,3,270,47,4.3,1.3,38.3,3,6.64
220,Ismail Jakobs,4,279,27.3,-,1.3,19.8,6.3,6.64
221,Achraf Dari,3,187,37,1.7,2,31.3,2,6.63
222,Rafael Leão,5,83,8.2,-,0.8,6.2,1.2,6.63
223,Mitchell Duke,4,274,15.5,0.3,0.3,8.8,6.3,6.63
224,Ao Tanaka,3,173,22.3,1,1.3,14.7,5.3,6.62
225,Cristian Romero,7,548,53.3,2,1.4,45.9,4,6.62
226,Aaron Mooy,4,360,51.8,3.3,2.5,38.8,7.3,6.61
227,Shuichi Gonda,4,390,25,3.5,10.8,10.5,0.3,6.61
228,Mohamed Dräger,2,134,15,0.5,1.5,9,4,6.61
229,Stephen Eustáquio,2,127,46,2,2,39.5,2.5,6.61
230,Keysher Fuller,3,254,18,0.7,2,12,3.3,6.61
231,Morteza Pouraliganji,3,270,42,3.7,5.3,27,6,6.61
232,Grzegorz Krychowiak,4,334,31.5,2,3,21.3,5.3,6.61
233,Sergio Rochet,3,270,24,2.7,7.7,13.3,0.3,6.60
234,Walker Zimmerman,4,278,60.5,3.3,3.8,50.8,2.8,6.60
235,Naïm Sliti,2,113,18,-,0.5,13,4.5,6.60
236,Celso Borges,3,251,38.7,1.7,1.3,31,4.7,6.59
237,Guido Rodríguez,1,57,64,2,2,52,8,6.59
238,Hassan Tambakti,2,180,27.5,2,4.5,18,3,6.59
239,Karol Swiderski,1,46,7,1,-,6,-,6.59
240,Shogo Taniguchi,2,210,41,3,2.5,31.5,4,6.59
241,Thomas Delaney,1,46,28,-,1,23,4,6.59
242,Jawad El Yamiq,6,308,27,0.7,0.8,23.3,2.2,6.59
243,Jhegson Méndez,2,180,68.5,3,1.5,61,3,6.59
244,Manuel Akanji,4,360,64,5.8,3,51,4.3,6.59
245,Mohammed Muntari,3,60,6.3,-,0.3,5.7,0.3,6.58
246,Niklas Süle,3,270,81.3,4,1.7,70.3,5.3,6.58
247,Joel Campbell,3,270,42,2,2,31.3,6.7,6.58
248,Kendall Waston,3,225,23.7,2.3,2.3,16.7,2.3,6.58
249,Ederson,1,90,21,3,1,16,1,6.58
250,Riyadh Sharahili,1,53,17,-,-,14,3,6.58
251,Sofyan Amrabat,7,660,44.9,1.9,1.3,36.4,5.3,6.58
252,Wout Weghorst,4,61,3.8,-,-,2.3,1.5,6.58
253,Breel Embolo,4,327,15.3,0.3,0.3,11.3,3.5,6.58
254,Daizen Maeda,3,183,5.7,-,-,2.7,3,6.58
255,William Carvalho,4,214,42.3,1.3,0.8,37.8,2.5,6.58
256,Teun Koopmeiners,5,217,22.8,1,1.2,17,3.6,6.57
257,Kim Seung-Gyu,4,360,29,4.3,8.3,16,0.5,6.57
258,Nico Schlotterbeck,2,93,59,1,3.5,53,1.5,6.57
259,Victor Nelsson,1,90,74,4,1,65,4,6.57
260,Granit Xhaka,4,360,60.5,4.8,2.8,48.8,4.3,6.57
261,Jordan Pickford,5,450,29,4.6,6.6,17.8,-,6.57
262,Kim Young-Gwon,4,351,51.8,5,5.3,39.3,2.3,6.57
263,Michael Estrada,3,228,16,0.7,-,8.7,6.7,6.56
264,Ali Gholizadeh,3,200,21.7,0.3,2,14,5.3,6.56
265,Andrés Guardado,1,42,16,1,1,10,4,6.56
266,Rasmus Kristensen,3,226,48.3,0.3,2,38,8,6.56
267,Andrej Kramaric,7,481,23.9,0.7,0.4,20.4,2.3,6.55
268,Ali Maâloul,1,90,37,4,4,23,6,6.55
269,Dani Alves,2,117,40,1.5,0.5,34,4,6.55
270,Sebastián Coates,2,180,46.5,3,3.5,35,5,6.55
271,Mathew Ryan,4,360,37.8,10.8,12.8,14.3,-,6.54
272,Marcus Thuram,5,147,7.8,0.2,0.2,5.2,2.2,6.54
273,Alireza Beiranvand,2,110,14,3,5.5,5.5,-,6.54
274,Héctor Herrera,2,161,37,2,1,29.5,4.5,6.54
275,Majid Hosseini,3,270,35,2.7,3.3,25.7,3.3,6.54
276,Steve Mandanda,1,90,25,2,12,11,-,6.54
277,Saeid Ezatolahi,3,218,28,4.7,2,17,4.3,6.54
278,Timothy Castagne,3,270,61.3,3.7,1.3,50.3,6,6.53
279,Chris Mepham,3,270,56.7,3,5.3,43.3,5,6.53
280,Thorgan Hazard,2,106,21,1,-,15,5,6.53
281,Lisandro Martínez,5,301,30.6,1.4,2,25,2.2,6.53
282,Timothy Weah,4,320,24.8,0.8,0.5,20.8,2.8,6.53
283,Ismaeel Mohammad,2,175,24,1.5,1,17.5,4,6.53
284,Andreas Cornelius,3,91,11,-,-,7,4,6.52
285,Nahuel Molina,7,570,41.1,0.9,1.4,32.3,6.6,6.52
286,Jack Grealish,5,81,10.8,0.2,-,9.4,1.2,6.52
287,Mislav Orsic,6,161,8.2,-,-,6.5,1.7,6.52
288,Alisson,4,380,20.3,1.5,2.5,15.5,0.8,6.52
289,Hong Chul,1,45,16,2,-,13,1,6.52
290,Memphis Depay,5,300,23.6,0.6,0.4,17.6,5,6.52
291,Roozbeh Cheshmi,2,58,5.5,-,0.5,3.5,1.5,6.52
292,Harry Wilson,3,161,18.3,1.3,0.7,13.3,3,6.51
293,Gareth Bale,3,226,16.3,0.7,1,10,4.7,6.51
294,Idrissa Gueye,3,270,37.7,1,0.3,33.7,2.7,6.51
295,Hiroki Sakai,2,120,15.5,1.5,0.5,8,5.5,6.51
296,Krystian Bielik,4,216,24.8,2.3,1.3,19.3,2,6.51
297,Boulaye Dia,4,321,12.8,0.3,-,9.5,3,6.51
298,Bryan Mbeumo,3,226,24.3,0.3,0.7,15,8.3,6.50
299,Lawrence Ati-Zigi,3,270,23.3,4.3,8,11,-,6.50
300,Przemyslaw Frankowski,4,241,16.3,0.5,1.3,11.3,3.3,6.50
301,Yassine Bounou,6,570,31.8,6,8.5,17.2,0.2,6.50
302,Sebastian Szymanski,2,136,19,0.5,1,12,5.5,6.50
303,Rúben Dias,4,360,68.3,2,3.8,59.8,2.8,6.50
304,Marko Livaja,6,242,9.5,0.2,0.2,5.7,3.5,6.50
305,Marco Asensio,4,231,27.3,0.8,-,21.3,5.3,6.49
306,Eden Hazard,3,125,19,0.3,0.3,15,3.3,6.49
307,Iliman Ndiaye,3,137,9.7,-,-,8,1.7,6.49
308,Luis Suárez,3,147,13.3,0.3,0.7,8,4.3,6.48
309,Lee Kang-In,4,146,16.3,1,0.5,14,0.8,6.48
310,Kamil Glik,4,360,32.5,1.8,2.5,27.8,0.5,6.48
311,Guillermo Ochoa,3,270,31.7,5,4.7,22,-,6.48
312,Nicolás Tagliafico,6,372,23.8,0.3,1.2,19.7,2.7,6.48
313,Ricardo Horta,3,117,13.3,-,0.3,10,3,6.48
314,Alidu Seidu,2,156,29,-,1.5,23.5,4,6.47
315,Anis Ben Slimane,2,150,17.5,-,1,12.5,4,6.47
316,Fabinho,1,90,57,5,1,46,5,6.47
317,Luuk de Jong,1,56,12,-,1,8,3,6.47
318,Na Sang-Ho,2,120,14,0.5,0.5,10.5,2.5,6.47
319,Bruno Petkovic,6,231,12.2,0.5,0.7,6,5,6.47
320,Craig Goodwin,4,236,18.3,0.8,0.8,12,4.8,6.47
321,Osman Bukari,2,58,9,-,0.5,7,1.5,6.47
322,Gabriel Jesus,3,92,8.7,-,-,7,1.7,6.46
323,Junior Hoilett,3,162,14.7,0.3,0.7,12,1.7,6.46
