No.,Player,Apps,Mins,Total,AccLB,InAccLB,AccSP,InAccSP,Rating
416,Abdulelah Al Amri,3,182,34,4.7,4,19.7,5.7,6.31
417,Antonio Rüdiger,3,270,83,2.7,3.3,73,4,6.31
418,Bruno Guimarães,2,67,25,1.5,0.5,19.5,3.5,6.31
419,Akram Afif,3,270,49.7,4,0.7,40.3,4.7,6.31
420,Nico Williams,4,146,13.5,0.8,-,11.3,1.5,6.31
421,Rúben Neves,5,271,50.8,3.6,1.6,43.4,2.2,6.30
422,Pathé Ciss,3,146,19,1,0.3,14.3,3.3,6.30
423,Maximiliano Gómez,2,28,3.5,-,-,2.5,1,6.30
424,Wayne Hennessey,2,176,24,6,8,10,-,6.30
425,Danilo Pereira,1,90,78,5,5,63,5,6.30
426,Ghaylen Chaalali,1,16,4,-,-,3,1,6.30
427,Jérémy Doku,1,18,11,-,-,8,3,6.30
428,Noa Lang,1,7,2,1,-,-,1,6.30
429,Abdou Diallo,4,332,43.5,3.5,5.3,30,4.8,6.30
430,Mario Pasalic,7,268,13.4,0.4,0.1,10.3,2.6,6.30
431,Youri Tielemans,3,95,20.3,1,1,16,2.3,6.30
432,Alex Telles,2,58,18,-,0.5,15,2.5,6.29
433,Denis Odoi,1,12,1,-,-,1,-,6.29
434,Dylan Bronn,2,163,46,2.5,7,32.5,4,6.29
435,Richie Laryea,3,161,15,0.7,-,10.7,3.7,6.29
436,Youstin Salas,2,46,7.5,0.5,0.5,5,1.5,6.29
437,Gabriel Martinelli,3,111,12,-,-,9.7,2.3,6.29
438,Lovro Majer,7,128,12.7,0.1,0.1,10.4,2,6.29
439,Bremer,2,108,40.5,1.5,0.5,37,1.5,6.29
440,Facundo Pellistri,3,182,14.3,0.3,0.3,10,3.7,6.28
441,Cristiano Ronaldo,5,291,17.2,-,-,13,4.2,6.28
442,Tajon Buchanan,3,261,24.3,0.3,1,17,6,6.28
443,Alexander Djiku,2,97,14,1,2,10,1,6.28
444,Martin Braithwaite,2,104,10,0.5,-,6.5,3,6.28
445,Darwin Núñez,3,242,17,0.7,0.7,10,5.7,6.28
446,Ehsan Hajisafi,3,239,26.7,1.3,3,17.3,5,6.27
447,Joe Rodon,3,270,56.3,2.3,2,48.3,3.7,6.27
448,Takehiro Tomiyasu,3,186,32,1.3,4.3,21.7,4.7,6.27
449,Sardar Azmoun,3,127,9.7,-,-,6,3.7,6.27
450,Daniel Carvajal,2,135,58,5.5,-,46,6.5,6.27
451,Krépin Diatta,3,183,22.7,0.7,0.3,18.3,3.3,6.26
452,Amadou Onana,2,105,31.5,0.5,1,28.5,1.5,6.26
453,Shaq Moore,2,20,10,0.5,1,6,2.5,6.26
454,Ali Al Bulayhi,3,217,30.3,1,2.7,23.3,3.3,6.26
455,André Ayew,3,201,12,-,-,9.7,2.3,6.25
456,Alejandro Balde,4,124,27.5,1,0.3,25,1.3,6.25
457,António Silva,1,90,62,8,1,52,1,6.25
458,Bryan Ruiz,1,29,10,-,1,8,1,6.25
459,Pau Torres,1,90,189,7,3,166,13,6.25
460,Jung Woo-Young,4,305,52,4.8,3,39.8,4.5,6.25
461,Mikkel Damsgaard,3,149,23,1.3,1,16.3,4.3,6.25
462,Uriel Antuna,3,75,4,-,-,3.3,0.7,6.25
463,Nampalys Mendy,4,273,39.3,4.5,1.3,30.5,3,6.24
464,Ali Karimi,3,96,14.3,0.7,1,10.7,2,6.24
465,Leon Goretzka,3,159,18,0.7,1,13.3,3,6.24
466,Filip Kostic,2,180,37.5,-,2.5,25,10,6.24
467,Vincent Janssen,2,86,10,-,-,8,2,6.24
468,Gaël Ondoua,2,45,9.5,-,-,8.5,1,6.24
469,Hannibal Mejbri,1,10,2,-,-,2,-,6.23
470,Koke,2,50,30,1.5,0.5,26.5,1.5,6.23
471,Loïs Openda,1,12,4,-,1,3,-,6.23
472,Matías Viña,2,15,8,-,1,4,3,6.23
473,Yuto Nagatomo,4,213,21.3,0.8,2,15.3,3.3,6.23
474,Cyle Larin,3,138,8.7,-,-,6.3,2.3,6.23
475,Ricardo Rodríguez,4,360,46.8,3.3,4.5,32,7,6.23
476,Kalvin Phillips,2,40,9.5,1,-,7.5,1,6.23
477,Ángel Correa,1,4,3,-,-,3,-,6.22
478,Ben Davies,3,239,47.7,6.7,4,30.3,6.7,6.22
479,Dries Mertens,2,77,14,0.5,0.5,9.5,3.5,6.22
480,Diogo Costa,5,450,27.2,4.2,8.8,14,0.2,6.22
481,Hwang In-Beom,4,335,60.3,3.8,3.8,44.5,8.3,6.22
482,Takuma Asano,4,162,6.8,0.3,-,5,1.5,6.22
483,Jesper Lindstrøm,3,200,15.3,-,-,11.3,4,6.22
484,Giovanni Reyna,2,52,16.5,0.5,-,11,5,6.22
485,Unai Simón,4,390,35.3,3.8,2,29,0.5,6.22
486,Edinson Cavani,3,123,12.3,1,-,8,3.3,6.21
487,Ali Asad,1,26,23,-,-,21,2,6.21
488,David Wotherspoon,1,14,6,-,-,4,2,6.21
489,Eric Dier,2,33,20.5,-,0.5,20,-,6.21
490,Romelu Lukaku,2,54,4.5,-,-,3,1.5,6.21
491,Wajdi Kechrida,3,109,14.3,-,2.3,8.3,3.7,6.21
492,Alistair Johnston,3,270,47.7,2.7,4,36.3,4.7,6.20
493,Éverton Ribeiro,1,35,16,-,-,14,2,6.20
494,Fabian Rieder,2,68,12.5,-,1.5,6.5,4.5,6.20
495,Johan Venegas,1,74,13,-,-,11,2,6.20
496,Ajdin Hrustic,3,59,6.3,0.3,0.3,5,0.7,6.20
497,Abdulrahman Al Obud,2,33,5.5,-,-,4,1.5,6.20
498,Tariq Lamptey,2,102,10.5,-,1.5,7,2,6.20
499,Arkadiusz Milik,3,100,9.7,-,0.7,6.3,2.7,6.19
500,Pape Abou Cissé,3,104,12.3,2,2,7.3,1,6.19
501,Kamal Miller,3,270,66.3,3,2.7,57.7,3,6.19
502,Samuel Oum Gouet,2,99,29,1.5,2.5,24.5,0.5,6.19
503,Bryan Oviedo,3,262,25.3,0.3,1.7,19,4.3,6.18
504,Érick Gutiérrez,1,48,29,-,1,24,4,6.18
505,Thiago Almada,1,6,13,-,-,13,-,6.18
506,Remo Freuler,4,324,37.8,0.8,1.5,30.8,4.8,6.18
507,Takumi Minamino,3,57,6.3,0.3,1,4,1,6.18
508,Agustín Canobbio,1,10,7,1,-,4,2,6.17
509,Kamaldeen Sulemana,2,57,7.5,-,-,5,2.5,6.17
510,Homam Ahmed,3,263,25.7,0.3,2.3,18,5,6.17
