No.,Player,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
73,Dominik Livakovic,7,692,-,-,0.1,-,0.3,0.1,-,-,6.99
74,Gonçalo Ramos,2(2),153,0.3,-,0.5,-,0.5,0.3,-,-,6.98
75,Gavi,4,287,2,0.3,2.3,-,0.5,0.8,-,-,6.98
76,Federico Valverde,3,270,2.3,1.7,2,-,-,0.3,-,-,6.98
77,Ibrahima Konaté,3(2),294,3,1.4,0.4,0.4,2.8,-,0.4,-,6.98
78,Luka Modric,7,657,2.3,1.4,1.9,-,0.4,1,0.3,-,6.97
79,Julián Álvarez,5(2),467,0.6,-,1.9,-,0.4,0.3,-,-,6.97
80,Ilkay Gündogan,3,192,1,0.3,1,-,-,0.3,-,-,6.96
81,Raphaël Guerreiro,3(1),279,0.8,0.8,0.5,0.5,-,0.3,-,-,6.96
82,Jan Vertonghen,3,270,-,1.7,-,0.3,4,0.3,0.7,-,6.96
83,Pepe,4,360,1.3,1.5,0.8,0.3,2.8,0.3,1,-,6.96
84,Dejan Lovren,6,602,1.2,1,0.3,0.7,4.8,0.3,0.8,-,6.95
85,Aleksandar Mitrovic,3,263,0.3,-,1,-,0.3,-,-,-,6.95
86,Harry Souttar,4,360,1,1.5,0.3,1,5.5,0.3,1,-,6.94
87,Marcus Rashford,1(4),137,0.2,0.2,0.2,-,0.2,0.2,-,-,6.94
88,Josko Gvardiol,7,692,1.3,1.6,1.1,0.4,5.3,0.4,0.6,-,6.94
89,Otávio,3,199,2.3,0.3,2,-,0.3,0.7,-,-,6.93
90,Kalidou Koulibaly,4,360,3,0.5,0.8,0.5,7.5,1,0.3,-,6.93
91,Luke Shaw,5,425,0.6,0.8,1,0.2,1,0.2,-,-,6.93
92,Aurélien Tchouaméni,7,624,1.6,2,1.1,-,0.9,0.6,0.1,-,6.93
93,Ellyes Skhiri,3,270,3.3,2.3,1,-,1,0.7,-,-,6.92
94,João Cancelo,3(1),309,1.8,0.5,0.5,0.3,1.5,0.3,0.3,-,6.92
95,Dusan Tadic,3,258,1.3,0.3,2.3,-,-,0.3,0.3,-,6.92
96,Kieran Trippier,2(1),205,2,0.3,0.3,-,1,0.3,0.3,-,6.92
97,Diego Godín,2,152,-,0.5,-,0.5,4.5,-,-,-,6.91
98,Pervis Estupiñán,3,270,2,1,2.7,0.3,1.7,1.3,0.3,-,6.91
99,Declan Rice,5,418,1.2,2.2,0.6,-,1,0.2,0.6,-,6.90
100,Montassar Talbi,3,270,0.7,0.7,1.3,0.3,5.3,-,0.3,-,6.90
101,Famara Diédhiou,1(1),92,-,-,1,0.5,1,0.5,-,-,6.90
102,Toby Alderweireld,3,270,1.3,-,-,0.3,6.3,1,0.3,-,6.89
103,Andries Noppert,5,481,-,-,-,-,1,-,-,-,6.89
104,Angelo Preciado,3,265,2.3,2,2.7,-,1.3,0.7,-,-,6.89
105,Kevin De Bruyne,3,270,0.3,-,-,-,1,0.7,-,-,6.88
106,Vincent Aboubakar,1(2),141,-,-,1,-,1.3,-,-,-,6.88
107,Hakim Ziyech,7,639,1.4,1.4,1.7,-,0.4,1,-,-,6.88
108,César Montes,3,270,2,0.7,1.3,0.3,3.7,-,-,-,6.87
109,Youssouf Sabaly,4,360,1.5,1,0.8,-,2,0.5,-,-,6.87
110,Yassine Meriah,3,270,1.3,0.3,1,0.7,6.7,1.7,-,-,6.87
111,Raphinha,4(1),317,1.6,0.6,0.4,-,-,0.4,-,-,6.87
112,Marcelo Brozovic,6,555,2.2,0.7,2,-,1.2,1.2,1.2,-,6.86
113,Mohammed Salisu,3,270,0.7,1,2,0.7,5.7,-,1.3,-,6.86
114,Niclas Füllkrug,0(3),66,-,-,-,-,-,-,-,-,6.86
115,Ko Itakura,3,270,3,1.3,1.7,1.3,5,0.3,-,-,6.86
116,Ousmane Dembélé,6(1),438,1.6,0.3,0.9,-,-,0.4,-,-,6.86
117,Nouhou Tolo,3,270,2.7,2,1,0.7,3,0.7,0.7,-,6.86
118,Piotr Zielinski,4,330,1.8,0.3,1,-,1.5,0.8,-,-,6.86
119,Jules Koundé,5(1),482,1.8,0.8,0.8,0.2,1.2,0.8,0.7,-,6.85
120,Youssef En-Nesyri,7,547,0.4,0.1,0.3,-,1.4,0.3,-,-,6.85
121,Mohammed Kanno,3,270,2,0.7,2.7,-,2.3,0.3,0.3,-,6.85
122,Youssef Msakni,2,170,1.5,-,-,-,0.5,0.5,0.5,-,6.85
123,José Giménez,3,270,1.3,2.3,1.3,0.3,3.3,1.7,1.7,-,6.84
124,Nathan Aké,5,481,1.2,1.6,0.8,0.8,3,-,0.4,-,6.84
125,Tyler Adams,4,360,2.8,1,1.3,-,1.3,1,-,-,6.84
126,Leandro Paredes,2(3),226,2,0.6,1.2,-,0.8,0.2,-,-,6.81
127,Matt Turner,4,360,-,-,-,-,0.3,-,-,-,6.81
128,Félix Torres,3,270,0.7,1.3,0.3,1,3.3,0.3,0.7,-,6.81
129,Virgil van Dijk,5,481,0.4,0.8,1,0.6,4.2,0.2,1.4,-,6.80
130,Nicolás Otamendi,7,692,1.4,1.3,1.9,0.1,3.4,0.3,0.3,-,6.80
131,Salem Al Dawsari,3,270,1.7,0.3,1,-,0.3,0.3,-,-,6.80
132,Aziz Behich,4,360,2,0.8,0.8,-,2.5,0.3,0.5,-,6.80
133,Marcos Acuña,4(2),375,2,0.3,1.5,0.2,0.8,0.2,0.2,-,6.79
134,Aïssa Laïdouni,3,245,1,1.3,1,-,2,0.3,0.3,-,6.79
135,Aymen Dahmen,3,270,-,-,-,-,0.7,-,-,-,6.79
136,Jordan Henderson,3(1),272,1,0.3,1.3,-,-,-,0.3,-,6.79
137,Hwang Hee-Chan,1(1),114,0.5,-,1.5,-,-,-,-,-,6.78
138,Éder Militão,4,349,1.8,0.8,1.8,0.8,0.5,0.3,-,-,6.78
139,Kim Moon-Hwan,4,360,2.3,1,0.3,0.3,3.5,0.3,0.3,-,6.78
140,Alphonso Davies,3,270,0.7,1,1.3,-,0.3,0.3,-,-,6.77
141,Romain Saïss,6,469,0.8,0.5,0.7,0.5,5,0.5,0.2,-,6.77
142,Noussair Mazraoui,5,368,2.8,0.2,0.6,0.4,2.8,0.6,0.2,-,6.77
143,Nico Elvedi,2,180,1,0.5,1.5,1,6.5,1,1.5,-,6.77
144,Pierre-Emile Højbjerg,3,270,1.3,1,-,-,2,1,0.3,-,6.76
145,Wataru Endo,3(1),304,2,0.8,1.8,-,1.5,0.5,0.8,-,6.76
146,Axel Witsel,3,270,1.3,1.3,1.7,0.7,1.7,-,0.3,-,6.76
147,Wahbi Khazri,1(1),83,1,-,0.5,-,-,-,-,-,6.76
148,Vanja Milinkovic-Savic,3,270,-,0.3,-,-,1,-,-,-,6.76
149,Danilo,3,283,1.7,1,1,-,1.7,0.3,0.3,-,6.75
150,Yassine Bounou,6,571,-,-,-,-,1.7,-,-,-,6.75
151,Kyle Walker,3,237,1,1,1,-,1,0.7,-,-,6.75
152,Carlos Soler,0(2),91,-,-,-,-,-,-,-,-,6.74
153,Jorge Sánchez,2,176,0.5,1.5,2.5,-,3,-,-,-,6.74
154,Sergej Milinkovic-Savic,3,236,1.7,0.7,0.7,-,1.3,0.3,0.7,-,6.74
155,Kim Jin-Su,4,316,2.5,0.8,0.3,0.5,1,0.3,-,-,6.74
156,Davy Klaassen,3(1),192,0.8,0.3,0.3,0.3,0.5,-,-,-,6.73
157,André-Frank Zambo Anguissa,3,261,1.3,1.7,2,-,0.7,0.7,-,-,6.73
158,Borna Sosa,5,426,2.8,0.4,0.8,0.4,3.4,0.4,-,-,6.73
159,Maya Yoshida,4,391,1,0.8,0.8,0.5,6,-,0.8,-,6.73
160,Pierre Kunde,2,135,2,2,1.5,-,2,1,-,-,6.73
161,Azzedine Ounahi,6(1),571,1.3,1,0.4,-,0.1,0.3,0.1,-,6.72
162,John Stones,5,437,0.4,0.2,0.8,0.2,1.4,-,0.6,-,6.72
163,Thomas Partey,3,270,3,-,1,-,2.7,-,0.7,-,6.72
164,Josip Juranovic,6,602,2,0.5,0.2,0.2,2.2,-,0.5,-,6.72
165,Hossein Hosseini,1(1),160,-,-,-,-,1,-,-,-,6.72
166,Saleh Al Shehri,3,226,1,-,2,-,0.3,0.3,0.3,-,6.71
167,Rodrigo De Paul,7,602,1.6,1,1,-,0.4,0.7,-,-,6.71
168,Kye Rowles,4,360,2,1.8,0.3,0.8,4,0.8,1.8,-,6.71
169,Joachim Andersen,3,270,1.3,-,1,0.3,4,0.7,0.3,-,6.71
170,Xherdan Shaqiri,3,231,-,-,0.7,-,-,0.3,-,-,6.71
171,Gonzalo Plata,3,270,1,0.7,1.3,-,-,2,-,-,6.71
172,Dusan Vlahovic,1(1),79,0.5,-,-,-,-,-,-,-,6.71
173,Fran Karacic,1(1),93,1,1,1.5,0.5,1.5,-,0.5,-,6.70
174,Junya Ito,3(1),324,1.8,1.3,-,-,1,1,0.3,-,6.70
175,Antonee Robinson,4,360,1.3,1.8,0.5,-,2,1,-,-,6.70
176,Nayef Aguerd,4,354,1,1,0.5,1,3,-,0.5,1,6.70
177,Kasper Schmeichel,3,270,-,-,-,-,1,-,-,-,6.69
178,Ethan Ampadu,3,257,1.3,1.3,1.7,0.3,3.3,0.3,1.3,-,6.68
179,Raheem Sterling,2(1),150,0.3,0.3,-,-,-,0.7,-,-,6.68
180,Wout Weghorst,0(4),62,-,-,1.3,-,-,-,0.3,-,6.68
181,Yunus Musah,4,345,2,0.5,2.3,-,0.3,0.5,-,-,6.68
182,Thomas Meunier,2(1),213,2,0.7,1.3,0.7,1.7,0.3,-,-,6.67
183,Yann Sommer,3,270,-,-,-,-,0.7,-,-,-,6.67
184,Sofiane Boufal,7,482,1.6,0.3,1.6,-,0.1,0.4,-,-,6.67
185,Dayot Upamecano,5,481,2.2,1.2,0.8,0.4,2.4,-,0.8,-,6.67
186,Tim Ream,4,360,1,1,0.3,0.3,2.8,-,0.3,-,6.66
187,Yeltsin Tejeda,3,270,1.3,0.3,-,-,2.3,1.7,1.7,-,6.66
188,Teun Koopmeiners,1(4),218,2,0.8,1.2,-,0.8,0.6,0.2,-,6.66
189,Ali Abdi,2(1),187,2.7,1.3,1.7,-,4,-,-,-,6.66
190,Jesús Gallardo,3,270,3,0.3,1.3,0.3,3,1.7,0.3,-,6.65
191,Strahinja Pavlovic,3,236,2.3,0.3,2,-,2.3,1,0.3,-,6.65
192,Christian Eriksen,3,270,0.3,-,0.7,-,0.3,-,0.7,-,6.65
193,Mathew Leckie,4,336,1,0.3,2,-,1.5,0.8,-,-,6.65
194,Son Heung-Min,4,360,1.3,0.5,0.3,-,-,-,-,-,6.65
195,Sergiño Dest,4,309,1,0.5,1,-,1.8,0.3,-,-,6.65
196,Daniel Amartey,3,270,2,1,1,0.3,4,-,1,-,6.64
197,Hugo Lloris,6,571,-,-,-,-,0.7,-,-,-,6.64
198,Ismail Jakobs,3(1),279,-,1,0.8,0.3,3.5,0.3,-,-,6.64
199,Achraf Dari,2(1),187,0.3,1.7,0.7,0.7,3,0.7,1.3,-,6.63
200,Rafael Leão,0(5),83,-,0.2,0.6,-,-,-,-,-,6.63
201,Mitchell Duke,4,274,-,0.5,1.5,-,0.3,-,-,-,6.63
202,Denzel Dumfries,5,481,1.6,1.4,3.4,-,0.8,0.2,0.2,-,6.63
203,Sergio Busquets,4,365,1.8,0.3,0.8,-,0.3,0.5,-,-,6.62
204,Ao Tanaka,2(1),174,1,1,0.3,-,0.7,-,0.3,-,6.62
205,Cristian Romero,6(1),549,0.7,0.6,1.7,0.4,3.6,0.6,0.6,-,6.62
206,Aaron Mooy,4,360,2.3,0.8,1,-,2.3,0.5,1,-,6.61
207,Mohamed Dräger,2,134,2.5,0.5,1,-,2,-,-,-,6.61
208,Stephen Eustáquio,2,127,2,1,0.5,-,3,1,-,-,6.61
209,Keysher Fuller,3,254,1.3,1,0.7,0.7,2.7,1.3,-,-,6.61
210,Morteza Pouraliganji,3,270,0.7,2,1.7,0.3,3.3,0.3,1,-,6.61
211,Grzegorz Krychowiak,4,334,2.3,1.3,1.5,-,1,1.5,0.8,-,6.61
212,Sergio Rochet,3,270,-,-,0.3,-,0.7,-,-,-,6.60
213,Walker Zimmerman,3(1),278,0.8,1,0.8,0.5,3.8,0.3,0.8,-,6.60
214,Sofyan Amrabat,7,661,2.3,0.9,2,0.1,1.4,0.7,0.1,-,6.60
215,Naïm Sliti,1(1),113,1.5,-,-,-,0.5,0.5,-,-,6.60
216,Celso Borges,3,251,1.7,1.3,0.7,-,2.3,1,1,-,6.59
217,Jawad El Yamiq,3(3),309,0.7,0.8,0.2,0.7,2.8,-,1,-,6.59
218,Mislav Orsic,1(5),163,0.5,-,0.5,-,0.2,0.7,-,-,6.59
219,Hassan Tambakti,2,180,2,1.5,1,1.5,2,1,1,-,6.59
220,Shogo Taniguchi,2,211,0.5,0.5,1.5,-,5,-,1,-,6.59
221,Jhegson Méndez,2,180,1,0.5,1.5,-,0.5,-,-,-,6.59
222,Manuel Akanji,4,360,1,0.8,1,0.5,3,0.3,0.8,-,6.59
223,Marquinhos,4(1),427,1,0.4,0.2,-,1.2,0.2,0.2,-,6.58
224,Mohammed Muntari,0(3),60,0.7,-,0.3,-,0.7,-,-,-,6.58
